regiao,estado,municipio,votos_Bolsonaro,votos_Lula
Sul,PR,ARAPOTI,10014,4840
Sudeste,MG,ARAPUA,1610,876
Sul,PR,ARAPUA,1222,1344
Centro-Oeste,MT,ARAPUTANGA,6249,2485
Sul,SC,ARAQUARI,12930,5399
Nordeste,PB,ARARA,1445,4913
Sul,SC,ARARANGUA,28631,12522
Sudeste,SP,ARARAQUARA,65076,66381
Sudeste,SP,ARARAS,52074,24138
Nordeste,CE,ARARENDA,1618,5643
Nordeste,MA,ARARI,3981,13294
Sul,RS,ARARICA,3117,1558
Nordeste,CE,ARARIPE,1104,11860
Nordeste,PE,ARARIPINA,9004,34412
Sudeste,RJ,ARARUAMA,51201,24357
Nordeste,PB,ARARUNA,2480,7305
Sul,PR,ARARUNA,5252,3543
Nordeste,BA,ARATACA,1236,2988
Sul,RS,ARATIBA,3018,2235
Nordeste,CE,ARATUBA,1926,7316
Nordeste,BA,ARATUIPE,1170,5141
Nordeste,SE,ARAUA,1481,5581
Sul,PR,ARAUCARIA,45633,37349
Sudeste,MG,ARAUJOS,3218,2017
Sudeste,MG,ARAXA,33959,27117
Sudeste,MG,ARCEBURGO,3260,2397
Sudeste,SP,ARCO-IRIS,1065,632
Sudeste,MG,ARCOS,14258,10765
Nordeste,PE,ARCOVERDE,9790,28536
Sudeste,MG,AREADO,5324,3655
Sudeste,RJ,AREAL,4454,3107
Sudeste,SP,AREALVA,3129,1646
Nordeste,PB,AREIA,3034,10656
Nordeste,RN,AREIA BRANCA,5198,11265
Nordeste,SE,AREIA BRANCA,3106,7866
Nordeste,PB,AREIA DE BARAUNAS,247,1374
Nordeste,PB,AREIAL,1183,3502
Sudeste,SP,AREIAS,946,1587
Sudeste,SP,AREIOPOLIS,3515,2868
Centro-Oeste,MT,ARENAPOLIS,3465,2413
Centro-Oeste,GO,ARENOPOLIS,1291,1233
Nordeste,RN,AREZ,2829,6193
Exterior,ZZ,ARGEL,0,0
Sudeste,MG,ARGIRITA,664,1585
Sudeste,MG,ARICANDUVA,969,2308
Sudeste,MG,ARINOS,3799,5868
Centro-Oeste,MT,ARIPUANA,7103,2370
Norte,RO,ARIQUEMES,39901,10513
Sudeste,SP,ARIRANHA,3307,1901
Sul,PR,ARIRANHA DO IVAI,787,1068
Sudeste,RJ,ARMACAO DOS BUZIOS,16125,8320
Sul,SC,ARMAZEM,4165,1406
Nordeste,CE,ARNEIROZ,888,4181
Nordeste,PI,AROAZES,570,3544
Nordeste,PB,AROEIRAS,2350,9786
Nordeste,PI,AROEIRAS DO ITAIM,535,2652
Nordeste,PI,ARRAIAL,475,2710
Sudeste,RJ,ARRAIAL DO CABO,15062,8428
Norte,TO,ARRAIAS,1461,4241
Sul,RS,ARROIO DO MEIO,9260,4371
Sul,RS,ARROIO DO PADRE,1922,389
Sul,RS,ARROIO DO SAL,3816,2191
Sul,RS,ARROIO DO TIGRE,4783,3508
Sul,RS,ARROIO DOS RATOS,3574,4153
Sul,RS,ARROIO GRANDE,4230,7082
Sul,SC,ARROIO TRINTA,1990,637
Exterior,ZZ,ARTIGAS,292,125
Sudeste,SP,ARTUR NOGUEIRA,18979,10932
Centro-Oeste,GO,ARUANA,2417,2212
Sudeste,SP,ARUJA,30665,22847
Sul,SC,ARVOREDO,1233,852
Sul,RS,ARVOREZINHA,4714,2394
Sul,SC,ASCURRA,4176,886
Sudeste,SP,ASPASIA,858,615
Sul,PR,ASSAI,6742,2830
Nordeste,CE,ASSARE,1859,12482
Sudeste,SP,ASSIS,33844,20387
Norte,AC,ASSIS BRASIL,2717,1895
Sul,PR,ASSIS CHATEAUBRIAND,14276,7474
Nordeste,RN,ASSU,8733,26008
Exterior,ZZ,ASSUNCAO,920,317
Nordeste,PB,ASSUNCAO,680,2365
Nordeste,PI,ASSUNCAO DO PIAUI,530,4459
Exterior,ZZ,ASTANA,0,0
Sudeste,MG,ASTOLFO DUTRA,4147,4398
Sul,PR,ASTORGA,11738,4419
Nordeste,AL,ATALAIA,7544,13340
Sul,PR,ATALAIA,1744,1167
Norte,AM,ATALAIA DO NORTE,1136,4660
Sul,SC,ATALANTA,1978,493
Sudeste,MG,ATALEIA,2334,5135
Exterior,ZZ,ATENAS,242,193
Sudeste,SP,ATIBAIA,56255,32014
Sudeste,ES,ATILIO VIVACQUA,3806,3130
Exterior,ZZ,ATLANTA,3373,1180
Norte,TO,AUGUSTINOPOLIS,3877,5801
Norte,PA,AUGUSTO CORREA,7086,19278
Sudeste,MG,AUGUSTO DE LIMA,1192,1717
Sul,RS,AUGUSTO PESTANA,3432,1582
Sul,RS,AUREA,1634,1084
Nordeste,BA,AURELINO LEAL,1725,5114
Sudeste,SP,AURIFLAMA,5760,2857
Centro-Oeste,GO,AURILANDIA,1104,1337
Sul,SC,AURORA,3581,874
Nordeste,CE,AURORA,2359,12787
