regiao,estado,municipio,populacao,casosAcumulado,obitosAcumulado
Sul,PR,BOM SUCESSO DO SUL,3264,1126,10
Sul,SC,BOMBINHAS,19769,5116,77
Sudeste,MG,BONFIM,6868,1004,21
Norte,RR,BONFIM,12409,3400,37
Nordeste,PI,BONFIM DO PIAUI,5670,519,9
Centro-Oeste,GO,BONFINOPOLIS,9706,701,39
Sudeste,MG,BONFINOPOLIS DE MINAS,5493,1316,15
Nordeste,BA,BONINAL,14368,1213,11
Centro-Oeste,MS,BONITO,21976,5803,83
Norte,PA,BONITO,16286,539,18
Nordeste,BA,BONITO,16764,1745,18
Nordeste,PE,BONITO,38134,3116,48
Sudeste,MG,BONITO DE MINAS,11230,379,5
Nordeste,PB,BONITO DE SANTA FE,11917,979,14
Centro-Oeste,GO,BONOPOLIS,4405,987,5
Nordeste,PB,BOQUEIRAO,17804,2647,53
Sul,RS,BOQUEIRAO DO LEAO,7714,793,35
Nordeste,PI,BOQUEIRAO DO PIAUI,6407,895,15
Nordeste,SE,BOQUIM,26816,4087,79
Nordeste,BA,BOQUIRA,21508,1139,27
Sudeste,SP,BORA,837,216,2
Sudeste,SP,BORACEIA,4823,1062,26
Norte,AM,BORBA,41161,3961,71
Nordeste,PB,BORBOREMA,5263,481,14
Sudeste,SP,BORBOREMA,16046,4515,60
Sudeste,MG,BORDA DA MATA,19412,6076,66
Sudeste,SP,BOREBI,2653,305,4
Sul,PR,BORRAZOPOLIS,6592,2041,38
Sul,RS,BOSSOROCA,6279,936,22
Sudeste,MG,BOTELHOS,14971,4141,37
Sudeste,SP,BOTUCATU,146497,54572,396
Sudeste,MG,BOTUMIRIM,6319,1015,5
Nordeste,BA,BOTUPORA,10211,1176,8
Sul,SC,BOTUVERA,5246,1851,12
Sul,RS,BOZANO,2123,671,9
Sul,SC,BRACO DO NORTE,33450,13462,120
Sul,SC,BRACO DO TROMBUDO,3743,1255,8
Sul,RS,BRAGA,3353,777,13
Norte,PA,BRAGANCA,127686,8285,201
Sudeste,SP,BRAGANCA PAULISTA,168668,44857,650
Sul,PR,BRAGANEY,5427,1468,15
Nordeste,AL,BRANQUINHA,10494,1201,17
Sudeste,MG,BRAS PIRES,4333,727,12
Norte,PA,BRASIL NOVO,15086,4953,49
Centro-Oeste,MS,BRASILANDIA,11872,2372,28
Sudeste,MG,BRASILANDIA DE MINAS,16538,3443,31
Sul,PR,BRASILANDIA DO SUL,2651,1032,14
Norte,TO,BRASILANDIA DO TOCANTINS,2201,324,5
Norte,AC,BRASILEIA,26278,4072,52
Nordeste,PI,BRASILEIRA,8329,1117,21
Centro-Oeste,DF,BRASILIA,3015268,892672,11838
Sudeste,MG,BRASILIA DE MINAS,32347,2182,18
Centro-Oeste,MT,BRASNORTE,19695,3840,45
Sudeste,SP,BRAUNA,5686,637,26
Sudeste,MG,BRAUNAS,4801,488,12
Centro-Oeste,GO,BRAZABRANTES,3703,943,8
Sudeste,MG,BRAZOPOLIS,14459,2108,40
Nordeste,PE,BREJAO,8993,679,10
Sudeste,ES,BREJETUBA,12404,3187,22
Nordeste,RN,BREJINHO,12699,2132,21
Nordeste,PE,BREJINHO,7487,1285,22
Norte,TO,BREJINHO DE NAZARE,5497,1512,20
Nordeste,MA,BREJO,36397,1087,20
Sudeste,SP,BREJO ALEGRE,2865,883,14
Nordeste,PE,BREJO DA MADRE DE DEUS,50742,4428,64
Nordeste,MA,BREJO DE AREIA,9188,485,11
Nordeste,PB,BREJO DO CRUZ,14122,2127,25
Nordeste,PI,BREJO DO PIAUI,3875,249,5
Nordeste,PB,BREJO DOS SANTOS,6449,1658,8
Nordeste,SE,BREJO GRANDE,8309,702,13
Norte,PA,BREJO GRANDE DO ARAGUAIA,7380,1320,6
Nordeste,CE,BREJO SANTO,49477,12351,159
Nordeste,BA,BREJOES,14295,1487,20
Nordeste,BA,BREJOLANDIA,10557,417,13
Norte,PA,BREU BRANCO,66046,1754,74
Norte,PA,BREVES,102701,6659,127
Centro-Oeste,GO,BRITANIA,5779,1544,11
Sul,RS,BROCHIER,5074,1338,8
Sudeste,SP,BRODOWSKI,24939,4747,87
Sudeste,SP,BROTAS,24403,7829,77
Nordeste,BA,BROTAS DE MACAUBAS,10231,690,9
Sudeste,MG,BRUMADINHO,40103,8725,113
Nordeste,BA,BRUMADO,67195,11990,211
Sul,SC,BRUNOPOLIS,2420,801,9
Sul,SC,BRUSQUE,134723,46012,365
Sudeste,MG,BUENO BRANDAO,11001,2509,40
Sudeste,MG,BUENOPOLIS,10365,1112,20
Nordeste,PE,BUENOS AIRES,13155,743,28
Nordeste,BA,BUERAREMA,18349,1749,53
Sudeste,MG,BUGRE,3982,380,14
Nordeste,PE,BUIQUE,58378,3156,61
Norte,AC,BUJARI,10266,1656,18
Norte,PA,BUJARU,29132,2062,43
Sudeste,SP,BURI,19878,4523,106
Sudeste,SP,BURITAMA,17144,5935,92
Nordeste,MA,BURITI,28678,1169,9
Centro-Oeste,GO,BURITI ALEGRE,9459,1894,40
Nordeste,MA,BURITI BRAVO,23884,2397,21
Centro-Oeste,GO,BURITI DE GOIAS,2488,841,9
Norte,TO,BURITI DO TOCANTINS,11348,1798,27
Nordeste,PI,BURITI DOS LOPES,19781,1748,38
Nordeste,PI,BURITI DOS MONTES,8244,725,10
Nordeste,MA,BURITICUPU,72358,4817,83
Centro-Oeste,GO,BURITINOPOLIS,3292,685,4
Nordeste,BA,BURITIRAMA,21174,1600,29
Nordeste,MA,BURITIRANA,15430,451,27
Norte,RO,BURITIS,39654,13655,105
Sudeste,MG,BURITIS,24841,6930,59
Sudeste,SP,BURITIZAL,4481,361,10
Sudeste,MG,BURITIZEIRO,28056,3824,43
Sul,RS,BUTIA,20941,5350,70
Norte,AM,CAAPIRANGA,13081,1038,24
Nordeste,PB,CAAPORA,21828,3080,41
Centro-Oeste,MS,CAARAPO,30174,6989,66
Nordeste,BA,CAATIBA,6758,1027,17
Nordeste,PB,CABACEIRAS,5611,674,6
Nordeste,BA,CABACEIRAS DO PARAGUACU,18807,1702,8
Sudeste,MG,CABECEIRA GRANDE,6949,1828,9
Centro-Oeste,GO,CABECEIRAS,7993,1432,20
Nordeste,PI,CABECEIRAS DO PIAUI,10586,943,18
Nordeste,PB,CABEDELO,67736,14764,223
Norte,RO,CABIXI,5312,1908,23
Nordeste,PE,CABO DE SANTO AGOSTINHO,207048,18531,563
Sudeste,RJ,CABO FRIO,226525,30868,1055
Sudeste,MG,CABO VERDE,14075,2631,23
Sudeste,SP,CABRALIA PAULISTA,4264,1193,9
Sudeste,SP,CABREUVA,49707,8049,156
Nordeste,PE,CABROBO,34221,5569,37
Sul,SC,CACADOR,78595,9744,334
Sudeste,SP,CACAPAVA,94263,15413,330
Sul,RS,CACAPAVA DO SUL,33624,9014,113
Norte,RO,CACAULANDIA,6230,2377,17
Sul,RS,CACEQUI,12561,1594,19
Centro-Oeste,MT,CACERES,94376,21984,493
Nordeste,BA,CACHOEIRA,33470,3127,34
Centro-Oeste,GO,CACHOEIRA ALTA,12484,4145,36
Sudeste,MG,CACHOEIRA DA PRATA,3603,226,16
Centro-Oeste,GO,CACHOEIRA DE GOIAS,1351,569,6
Sudeste,MG,CACHOEIRA DE MINAS,11547,2620,21
Sudeste,MG,CACHOEIRA DE PAJEU,9412,691,11
Norte,PA,CACHOEIRA DO ARARI,23767,633,27
Norte,PA,CACHOEIRA DO PIRIA,33900,1704,12
Sul,RS,CACHOEIRA DO SUL,82201,24235,246
Nordeste,PB,CACHOEIRA DOS INDIOS,10244,1684,25
Sudeste,MG,CACHOEIRA DOURADA,2692,633,2
Centro-Oeste,GO,CACHOEIRA DOURADA,8067,2399,33
Nordeste,MA,CACHOEIRA GRANDE,9431,491,8
Sudeste,SP,CACHOEIRA PAULISTA,33327,5639,73
Sudeste,RJ,CACHOEIRAS DE MACACU,58937,6256,122
Norte,TO,CACHOEIRINHA,2275,135,2
Nordeste,PE,CACHOEIRINHA,20380,1148,37
Sul,RS,CACHOEIRINHA,130293,28879,548
Sudeste,ES,CACHOEIRO DE ITAPEMIRIM,208972,60779,753
Nordeste,PB,CACIMBA DE AREIA,3682,420,5
Nordeste,PB,CACIMBA DE DENTRO,17187,1608,40
Nordeste,PB,CACIMBAS,7173,502,11
Nordeste,AL,CACIMBINHAS,10858,1154,13
Sul,RS,CACIQUE DOBLE,5065,1438,15
Norte,RO,CACOAL,85359,31267,355
Sudeste,SP,CACONDE,18985,3589,46
Centro-Oeste,GO,CACU,16009,3722,45
Nordeste,BA,CACULE,23170,3566,33
Nordeste,BA,CAEM,9213,1138,10
Sudeste,MG,CAETANOPOLIS,11624,1917,23
Nordeste,BA,CAETANOS,14542,845,13
Sudeste,MG,CAETE,44718,3406,84
Nordeste,PE,CAETES,28739,3038,29
Nordeste,BA,CAETITE,50975,7248,58
Nordeste,BA,CAFARNAUM,18437,1330,24
Sul,PR,CAFEARA,2934,909,15
