regiao,estado,municipio,votos_Bolsonaro,votos_Haddad
Sudeste,RJ,MACUCO,2881,1815
Nordeste,BA,MACURURE,559,3676
Nordeste,CE,MADALENA,1200,8536
Nordeste,PI,MADEIRO,564,3872
Nordeste,BA,MADRE DE DEUS,2180,9663
Sudeste,MG,MADRE DE DEUS DE MINAS,1322,1516
Exterior,ZZ,MADRI,2109,1416
Nordeste,PB,MAE D'AGUA,462,2234
Norte,PA,MAE DO RIO,7101,8853
Nordeste,BA,MAETINGA,1034,2806
Sul,SC,MAFRA,25692,6104
Norte,PA,MAGALHAES BARATA,1552,3562
Nordeste,MA,MAGALHAES DE ALMEIDA,1697,6261
Sudeste,SP,MAGDA,1282,580
Sudeste,RJ,MAGE,83510,37416
Nordeste,BA,MAIQUINIQUE,1848,2914
Nordeste,BA,MAIRI,1864,7235
Sudeste,SP,MAIRINQUE,17565,7040
Sudeste,SP,MAIRIPORA,30283,10743
Centro-Oeste,GO,MAIRIPOTABA,1011,548
Sul,SC,MAJOR GERCINO,1733,563
Nordeste,AL,MAJOR ISIDORO,2379,7264
Nordeste,RN,MAJOR SALES,301,1946
Sul,SC,MAJOR VIEIRA,2812,1537
Sudeste,MG,MALACACHETA,3026,5125
Nordeste,BA,MALHADA,2121,6556
Nordeste,BA,MALHADA DE PEDRAS,1283,4028
Nordeste,SE,MALHADA DOS BOIS,509,2165
Nordeste,SE,MALHADOR,1530,5417
Sul,PR,MALLET,5435,2659
Nordeste,PB,MALTA,604,3017
Nordeste,PB,MAMANGUAPE,7821,15771
Centro-Oeste,GO,MAMBAI,2241,1668
Sul,PR,MAMBORE,5836,2713
Sudeste,MG,MAMONAS,1169,2579
Sul,RS,MAMPITUBA,1055,1007
Norte,AM,MANACAPURU,17778,27255
Exterior,ZZ,MANAGUA,36,23
Nordeste,PB,MANAIRA,539,5481
Norte,AM,MANAQUIRI,1744,6076
Nordeste,PE,MANARI,681,8297
Norte,AM,MANAUS,686999,358364
Norte,AC,MANCIO LIMA,5225,2334
Sul,PR,MANDAGUACU,8585,4043
Sul,PR,MANDAGUARI,15126,5537
Sul,PR,MANDIRITUBA,8514,5156
Sudeste,SP,MANDURI,3680,1205
Sul,PR,MANFRINOPOLIS,647,1458
Sudeste,MG,MANGA,2986,6273
Sudeste,RJ,MANGARATIBA,18723,5796
Sul,PR,MANGUEIRINHA,4605,5591
Sudeste,MG,MANHUACU,23678,15267
Sudeste,MG,MANHUMIRIM,6019,4773
Norte,AM,MANICORE,5016,12543
Exterior,ZZ,MANILA,38,8
Nordeste,PI,MANOEL EMIDIO,508,2687
Sul,PR,MANOEL RIBAS,5362,2803
Norte,AC,MANOEL URBANO,2274,1621
Sul,RS,MANOEL VIANA,1845,2117
Nordeste,BA,MANOEL VITORINO,1203,7455
Nordeste,BA,MANSIDAO,811,4908
Sudeste,MG,MANTENA,8368,4689
Sudeste,ES,MANTENOPOLIS,4304,2945
Exterior,ZZ,MAPUTO,179,106
Sul,RS,MAQUINE,2300,1847
Sudeste,MG,MAR DE ESPANHA,3904,2990
Nordeste,AL,MAR VERMELHO,563,1788
Centro-Oeste,GO,MARA ROSA,2847,2457
Norte,AM,MARAA,835,4114
Norte,PA,MARABA,61220,48278
Sudeste,SP,MARABA PAULISTA,974,1057
Nordeste,MA,MARACACUME,2229,7034
Sudeste,SP,MARACAI,5548,2118
Sul,SC,MARACAJA,3728,1113
Centro-Oeste,MS,MARACAJU,13404,6414
Norte,PA,MARACANA,5165,12021
Nordeste,CE,MARACANAU,48472,74823
Nordeste,BA,MARACAS,2804,10867
Nordeste,AL,MARAGOGI,7462,6265
Nordeste,BA,MARAGOGIPE,3915,19520
Nordeste,PE,MARAIAL,1206,4190
Nordeste,MA,MARAJA DO SENA,654,3643
Nordeste,CE,MARANGUAPE,18147,40475
Nordeste,MA,MARANHAOZINHO,825,4380
Norte,PA,MARAPANIM,4943,10105
Sudeste,SP,MARAPOAMA,1587,274
Sul,RS,MARATA,1390,402
Sudeste,ES,MARATAIZES,13957,5766
Nordeste,BA,MARAU,1436,6695
Sul,RS,MARAU,17922,5855
Sul,SC,MARAVILHA,10625,4154
Nordeste,AL,MARAVILHA,810,4341
Sudeste,MG,MARAVILHAS,2566,1739
Nordeste,PB,MARCACAO,589,4286
Centro-Oeste,MT,MARCELANDIA,4181,1585
Sul,RS,MARCELINO RAMOS,1840,1273
Nordeste,RN,MARCELINO VIEIRA,440,4459
Nordeste,BA,MARCIONILIO SOUZA,793,4191
Nordeste,CE,MARCO,6175,9221
Nordeste,PI,MARCOLANDIA,1100,4325
Nordeste,PI,MARCOS PARENTE,730,1965
Sul,PR,MARECHAL CANDIDO RONDON,23281,6664
Nordeste,AL,MARECHAL DEODORO,14007,10713
Sudeste,ES,MARECHAL FLORIANO,6734,2775
Norte,AC,MARECHAL THAUMATURGO,2548,2451
Sul,SC,MAREMA,982,650
Nordeste,PB,MARI,3138,9515
Sudeste,MG,MARIA DA FE,6279,2367
Sul,PR,MARIA HELENA,2045,1574
Sul,PR,MARIALVA,15615,5542
Sudeste,MG,MARIANA,11883,19882
Sul,RS,MARIANA PIMENTEL,1663,896
Sul,RS,MARIANO MORO,756,751
Norte,TO,MARIANOPOLIS DO TOCANTINS,776,1340
Sudeste,SP,MARIAPOLIS,1275,779
Nordeste,AL,MARIBONDO,2017,4667
Sudeste,RJ,MARICA,47243,28593
Sudeste,MG,MARILAC,969,1419
Sudeste,ES,MARILANDIA,4974,2505
Sul,PR,MARILANDIA DO SUL,3732,1628
Sul,PR,MARILENA,1877,2268
Sudeste,SP,MARILIA,94124,23536
Sul,PR,MARILUZ,3164,2741
Sul,PR,MARINGA,157818,50271
Sudeste,SP,MARINOPOLIS,772,496
Sudeste,MG,MARIO CAMPOS,4822,2747
Sul,PR,MARIOPOLIS,2341,1779
Sul,PR,MARIPA,3401,728
Sudeste,MG,MARIPA DE MINAS,1132,956
Norte,PA,MARITUBA,25234,30049
Nordeste,PB,MARIZOPOLIS,917,3377
Sudeste,MG,MARLIERIA,1526,1251
Sul,PR,MARMELEIRO,4351,4623
